Session,name,hemi,ch,type,Kurtosis,FF,Burstiness,BI,LV,FR
Before,501,Left,3,Burst,0.21049,0.75079,1.2242,1.4806,0.56725,2.3729
Before,502,Left,2,Burst,-0.29413,-0.32041,-0.2669,-0.37442,-1.0508,-0.37377
Before,502,Left,2,Burst,-0.69917,-0.78102,-1.0295,-0.95262,-0.61796,-0.73098
Before,502,Left,2,Burst,3.0359,3.2248,2.6902,1.0868,0.10352,-0.70068
Before,502,Left,4,Burst,2.1018,-0.0051738,1.1412,1.8919,-2.6438,0.67233
Before,502,Left,4,Burst,-0.76443,-0.88485,-1.1471,-0.88499,-0.51367,-0.89364
Before,502,Left,4,Burst,-0.1348,-0.099983,0.050013,-0.04876,-0.24408,-0.046866
Before,502,Left,4,Burst,-0.33353,-0.46624,-0.24652,-0.42573,-1.3148,-0.5444
Before,502,Right,1,Burst,0.25519,0.54051,0.45724,0.15527,-0.096241,0.75697
Before,502,Right,1,Burst,0.38567,-1.0081,-0.78288,-0.63273,-2.1787,-0.51279
Before,502,Right,1,Burst,-0.39798,-1.4838,-1.0769,-0.71107,-1.0941,-0.59008
Before,502,Right,3,Burst,-0.21902,0.49868,0.28507,0.072336,0.69496,0.62227
Before,502,Right,3,Burst,0.073471,-0.54467,-0.26098,-0.46073,-1.2786,-0.38471
Before,502,Right,3,Burst,1.4842,1.1575,1.7048,1.7232,-1.5507,0.91376
Before,503,Left,1,Burst,0.19242,0.67199,0.67748,0.42177,0.51735,1.1362
Before,503,Left,1,Burst,-0.87189,-0.67063,-1.0115,-0.78327,-0.47101,-0.93786
Before,503,Left,3,Burst,0.89317,1.376,1.5646,1.7689,0.39765,2.2653
Before,503,Left,3,Burst,3.2422,1.249,2.1865,2.1492,-0.87589,-0.49022
Before,503,Right,4,Burst,1.3907,1.3414,1.309,1.3276,0.66613,2.0578
Before,503,Right,4,Burst,0.33015,-0.17796,0.20304,-0.13266,-0.85794,-0.47444
Before,503,Right,4,Burst,-0.078213,-1.1356,-1.005,-0.71085,-1.3526,-0.47682
Before,503,Right,4,Burst,2.0732,0.46815,2.1661,2.844,-1.6909,-0.49343
Before,503,Right,4,Burst,-0.81654,0.11527,-0.018323,-0.46277,1.015,-0.71177
Before,504,Left,1,Burst,1.128,0.42507,0.66761,0.65281,0.11844,1.6227
Before,504,Left,3,Burst,1.2013,1.145,1.3844,-0.041456,1.8282,-1.0833
Before,504,Left,3,Burst,0.35426,2.5823,2.4363,2.1652,1.1714,-1.0948
Before,504,Left,4,Burst,2.349,1.3808,1.4377,1.9787,-0.71041,1.4408
Before,504,Left,4,Burst,-0.58063,-1.4798,-0.85453,-0.97538,0.046636,-0.93205
Before,504,Right,3,Burst,0.94413,1.4498,1.4387,0.90474,-0.51494,-0.20651
Before,504,Right,3,Burst,1.8726,0.89975,1.8767,1.8978,-2.3364,-0.79183
